timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103377930,1786,Request1,200,OK,Thread Group 1-4,text,true,,18191,234,10,10,https://www.google.com/,1226,0,0
1667103377930,1226,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,1226,0,0
1667103379156,560,Request1-1,200,OK,Thread Group 1-4,text,true,,17488,119,10,10,https://www.google.com/,546,0,0
1667103378598,1670,Request1,200,OK,Thread Group 1-10,text,true,,18202,234,10,10,https://www.google.com/,1140,0,0
1667103378598,1140,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,1140,0,0
1667103379738,530,Request1-1,200,OK,Thread Group 1-10,text,true,,17499,119,10,10,https://www.google.com/,515,0,0
1667103379057,1216,Request1,200,OK,Thread Group 1-1,text,true,,18149,234,10,10,https://www.google.com/,629,0,0
1667103379057,629,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,629,0,0
1667103379686,587,Request1-1,200,OK,Thread Group 1-1,text,true,,17446,119,10,10,https://www.google.com/,576,0,0
1667103378557,1776,Request1,200,OK,Thread Group 1-9,text,true,,18168,234,10,10,https://www.google.com/,1251,0,0
1667103378557,1251,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,1251,0,0
1667103379808,525,Request1-1,200,OK,Thread Group 1-9,text,true,,17465,119,10,10,https://www.google.com/,512,0,0
1667103379168,1300,Request1,200,OK,Thread Group 1-6,text,true,,18185,234,10,10,https://www.google.com/,382,0,0
1667103379168,383,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,382,0,0
1667103379551,917,Request1-1,200,OK,Thread Group 1-6,text,true,,17482,119,10,10,https://www.google.com/,906,0,0
1667103378952,1524,Request1,200,OK,Thread Group 1-8,text,true,,18186,234,10,10,https://www.google.com/,960,0,0
1667103378952,960,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,960,0,0
1667103379912,564,Request1-1,200,OK,Thread Group 1-8,text,true,,17483,119,10,10,https://www.google.com/,551,0,0
1667103378752,1792,Request1,200,OK,Thread Group 1-7,text,true,,18101,234,10,10,https://www.google.com/,1237,0,0
1667103378752,1237,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,1237,0,0
1667103379989,555,Request1-1,200,OK,Thread Group 1-7,text,true,,17398,119,10,10,https://www.google.com/,544,0,0
1667103379716,973,Request1,200,OK,Thread Group 1-4,text,true,,18170,234,10,10,https://www.google.com/,420,0,0
1667103379716,420,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,420,0,0
1667103380136,553,Request1-1,200,OK,Thread Group 1-4,text,true,,17467,119,10,10,https://www.google.com/,543,0,0
1667103379505,1301,Request1,200,OK,Thread Group 1-5,text,true,,18179,234,10,10,https://www.google.com/,382,0,0
1667103379505,382,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,382,0,0
1667103379888,918,Request1-1,200,OK,Thread Group 1-5,text,true,,17476,119,10,10,https://www.google.com/,906,0,0
1667103379505,1313,Request1,200,OK,Thread Group 1-3,text,true,,18172,234,10,10,https://www.google.com/,751,0,0
1667103379505,751,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,751,0,0
1667103380257,561,Request1-1,200,OK,Thread Group 1-3,text,true,,17469,119,10,10,https://www.google.com/,549,0,0
1667103379691,1692,Request1,200,OK,Thread Group 1-2,text,true,,18163,234,10,10,https://www.google.com/,1140,0,0
1667103379691,1140,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,1140,0,0
1667103380830,553,Request1-1,200,OK,Thread Group 1-2,text,true,,17460,119,10,10,https://www.google.com/,546,0,0
1667103380544,969,Request1,200,OK,Thread Group 1-7,text,true,,18204,234,10,10,https://www.google.com/,412,0,0
1667103380544,412,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,412,0,0
1667103380955,558,Request1-1,200,OK,Thread Group 1-7,text,true,,17501,119,10,10,https://www.google.com/,547,0,0
1667103380334,1343,Request1,200,OK,Thread Group 1-9,text,true,,18166,234,10,10,https://www.google.com/,436,0,0
